"CNPJ","NOME","PROJETO","DATA","VALOR (R$)"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","22/12/2014","106.151,51"
"***.00.000/****-90","BANCO DO BRASIL","3076 - TC. LG/UFC/FCPC","04/12/2014","300,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","01/12/2014","49.090,51"
"***.00.000/****-90","BANCO DO BRASIL","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","25/11/2014","0,00"
"***.00.000/****-90","BANCO DO BRASIL","3052 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 12","25/11/2014","1.200,00"
"***.00.000/****-90","BANCO DO BRASIL","2748 - CT - UFC/FCPC - CAPACITACAO EM TERAPIA COMUNITARIA","10/11/2014","430,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","29/10/2014","27.545,86"
"***.00.000/****-90","BANCO DO BRASIL","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","24/10/2014","0,00"
"***.00.000/****-90","BANCO DO BRASIL","3052 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 12","24/10/2014","1.100,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","01/10/2014","68.843,88"
"***.00.000/****-90","BANCO DO BRASIL","2748 - CT - UFC/FCPC - CAPACITACAO EM TERAPIA COMUNITARIA","08/09/2014","430,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","29/08/2014","23.130,41"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","30/07/2014","19.272,64"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","15/07/2014","7.637,95"
"***.00.000/****-90","BANCO DO BRASIL","3052 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 12","02/07/2014","1.000,00"
"***.00.000/****-90","BANCO DO BRASIL","2748 - CT - UFC/FCPC - CAPACITACAO EM TERAPIA COMUNITARIA","16/06/2014","430,00"
"***.00.000/****-90","BANCO DO BRASIL","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","16/06/2014","0,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","28/05/2014","10.488,29"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","07/05/2014","13.117,66"
"***.00.000/****-90","BANCO DO BRASIL","3052 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 12","05/05/2014","600,00"
"***.00.000/****-90","BANCO DO BRASIL","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","05/05/2014","0,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","28/03/2014","18.679,06"
"***.00.000/****-90","BANCO DO BRASIL","2955 - CV - LG/UFC/FCPC - PLANO DE TRABALHO 10","14/03/2014","550,00"
"***.00.000/****-90","BANCO DO BRASIL","2971 - CV - LG/UFC/FCPC - TERMO ADITIVO NÂº 12","14/03/2014","700,00"
"***.00.000/****-90","BANCO DO BRASIL","2748 - CT - UFC/FCPC - CAPACITACAO EM TERAPIA COMUNITARIA","13/03/2014","830,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","07/03/2014","10.968,17"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","31/01/2014","18.009,94"
"***.00.000/****-90","BANCO DO BRASIL","2955 - CV - LG/UFC/FCPC - PLANO DE TRABALHO 10","28/01/2014","500,00"
"***.00.000/****-90","BANCO DO BRASIL","2971 - CV - LG/UFC/FCPC - TERMO ADITIVO NÂº 12","28/01/2014","650,00"
"***.00.000/****-90","BANCO DO BRASIL","2955 - CV - LG/UFC/FCPC - PLANO DE TRABALHO 10","14/01/2014","50,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","13/01/2014","20.157,07"
"***.00.000/****-90","BANCO DO BRASIL","2955 - CV - LG/UFC/FCPC - PLANO DE TRABALHO 10","06/01/2014","500,00"
"***.00.000/****-90","BANCO DO BRASIL","2971 - CV - LG/UFC/FCPC - TERMO ADITIVO NÂº 12","06/01/2014","600,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3082 - CT - PEDRA BRANCA/FCPC - CONCURSO PUBLICO","09/12/2014","620,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3090 - UFC/FCPC - THE NETWORK - ENCONTRO EDUCACIONAL INTERNACIONAL","20/11/2014","754,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3053 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 13","19/11/2014","545,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","0101 - FCPC","06/10/2014","1.151,50"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","0101 - FCPC","06/10/2014","120,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3080 - CARTA ACORDO OPAS/FCPC - I CONGRESSO BRAS. DE ASSI","01/10/2014","2.484,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","0101 - FCPC","23/09/2014","218,50"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","0101 - FCPC","23/09/2014","328,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3030 - CV LANDIS/UFC/FCPC - SISCOME 10","22/09/2014","564,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2945 - CARTA ACORDO OPAS/FCPC FAIMER 2014","20/08/2014","2.035,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3063 - CT - UFC/FCPC - CONCURSO PARA ASSISTENTE ADMINISTRATIVO DA UFC","29/07/2014","315,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","0101 - FCPC","24/06/2014","337,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","0101 - FCPC","20/06/2014","1.039,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","0101 - FCPC","20/06/2014","980,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3052 - TERMO DE COOPERACAO LG/UFC/FCPC - PT 12","11/06/2014","900,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3025 - CT-FCPC/QUIXERAMOBIM - CONCURSO PUBLICO DA PREFEITURA DE QUIXERAMOBIM","10/06/2014","429,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3063 - CT - UFC/FCPC - CONCURSO PARA ASSISTENTE ADMINISTRATIVO DA UFC","28/05/2014","1.170,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3063 - CT - UFC/FCPC - CONCURSO PARA ASSISTENTE ADMINISTRATIVO DA UFC","28/05/2014","2.217,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2964 - CT.UNILAB/FCPC - CURSO DE FORMAÃ‡ÃƒO CIDADÃƒ E AGROECOLOGICA","15/05/2014","1.633,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","3043 - CARTA/FCPC-II ENCONTRO DA LINHA DE PESQUISA EDUCACAO CURRICULO ...","13/05/2014","1.287,60"
